Unidad territorial, Variable, 2022
Región De Arica Y Parinacota, Incidencia de pobreza Multidimensional de la población en 4 dimensiones, 17.337045439458958
Región De Tarapacá, Incidencia de pobreza Multidimensional de la población en 4 dimensiones, 22.781805431530728
Región De Antofagasta, Incidencia de pobreza Multidimensional de la población en 4 dimensiones, 15.073839662447257
Región De Atacama, Incidencia de pobreza Multidimensional de la población en 4 dimensiones, 17.77255377771037
Región De Coquimbo, Incidencia de pobreza Multidimensional de la población en 4 dimensiones, 14.466375911648752
Región De Valparaíso, Incidencia de pobreza Multidimensional de la población en 4 dimensiones, 14.884693790877431
Región Metropolitana De Santiago, Incidencia de pobreza Multidimensional de la población en 4 dimensiones, 15.498576452205517
Región Del Libertador Gral. Bernardo O'higgins, Incidencia de pobreza Multidimensional de la población en 4 dimensiones, 13.180299097295666
Región Del Maule, Incidencia de pobreza Multidimensional de la población en 4 dimensiones, 13.193747173323509
Región del Ñuble, Incidencia de pobreza Multidimensional de la población en 4 dimensiones, 13.316635521333739
Región Del Biobío, Incidencia de pobreza Multidimensional de la población en 4 dimensiones, 12.504823536461144
Región De La Araucanía, Incidencia de pobreza Multidimensional de la población en 4 dimensiones, 17.37279461718975
Región De Los Ríos, Incidencia de pobreza Multidimensional de la población en 4 dimensiones, 16.65639539879937
Región De Los Lagos, Incidencia de pobreza Multidimensional de la población en 4 dimensiones, 17.401498319693637
Región De Aysén Del Gral. Carlos Ibáñez Del Campo, Incidencia de pobreza Multidimensional de la población en 4 dimensiones, 13.30205333085571
Región De Magallanes Y De La Antártica Chilena, Incidencia de pobreza Multidimensional de la población en 4 dimensiones, 6.303752008316795
